,image_id,rx,ry,rz,tx,ty,tz
0,0.0,-0.1860737114518751,0.0512454540004212,0.022101026886256907,-20.226691943761015,-2.54812774084079,491.22042296293597
1,1.0,0.4295120038096737,0.12664014413641303,-0.011174624769597435,-23.924622903034646,-16.019445345763522,329.05143068632105
2,2.0,0.04687638920398701,0.028252582630880964,-0.00879898739776872,-9.279064550681388,-20.12113031714837,477.8819466444173
3,3.0,-0.4385083424438342,0.05974441156575901,0.018613762899973716,-26.063061788564838,-1.5379258134601974,480.7271787558841
4,4.0,0.11419267752909171,0.43523246934799187,-0.011635012349859818,-27.947578505805776,-14.92245036321549,447.66230577614556
5,5.0,-0.10180170190117205,-0.03677710821526852,-0.004216364707554868,-34.46368661383157,-16.438085867125473,478.4222206634738
6,6.0,-0.09643993080109459,0.16377463999076983,-0.4405058181732239,-25.979383194092076,16.20187677204925,459.1069529445266
7,7.0,0.34625265364477287,0.28095141227934384,-0.06500973163101213,-30.838735506109632,-8.245293185072121,420.38933164603833
8,8.0,-0.013282139777043133,-0.2712916744908015,0.05782971372923273,-21.17264301767802,-16.446142196985452,466.2109232745916
9,9.0,-0.173610649150847,-0.04348073160435359,0.23933323282834687,13.425259225221795,-37.58950085924937,554.5999973542123
10,10.0,0.3846579577560761,-0.07403648048948538,0.016523473847176923,-24.148189360358618,-16.36555208322963,368.68113655445313
