,image_id,rx,ry,rz,tx,ty,tz
0,0.0,-0.27797659523528234,0.010725097051164109,-0.0031953962646334615,-109.47216193017846,-47.6585630893231,657.2246467425297
1,1.0,-0.2774801241596504,0.19408536017225694,0.04829165407993755,-102.72324145406465,-41.43315702671186,857.2179818949961
2,2.0,-0.1608316506900825,0.1170346306096152,0.008325342293858479,-103.13339557967517,-62.03836065572069,1041.1769575203502
3,3.0,-0.013697519945754154,-0.046567954272564466,-0.009868521116839574,-91.27780951611244,-56.52210148621097,796.2267605379377
4,4.0,-0.1765049233685372,0.03679932831173295,-0.04621482817531521,-85.74584159724522,-29.52777649054015,769.5065520206774
5,5.0,-0.02797203323689046,-0.10181946526811862,-0.11788349521338555,-115.38077857689429,-35.08908681116757,806.0605067345318
6,6.0,0.10307903802343027,-0.07125941887841672,-0.06456963054274407,-92.16026110245055,-15.725792549844451,786.4287986408414
7,7.0,-0.20077011347695375,0.28493086649248683,-0.02660108027887007,-83.19552617535147,-32.36668511202472,924.072007899154
8,8.0,-0.10199946506859507,-0.19839267016752712,0.021161267167704015,-92.20333491710808,-69.5512994391634,991.8704356820035
9,9.0,-0.3581617685500507,0.32957813330044344,0.03258349141535015,-70.00737593042042,-24.78620119509455,1008.6504905290259
10,10.0,-0.2183280595738821,0.05081080806854471,-0.35102508450488834,-112.53009331716459,1.4516237020589322,773.598656448877
11,11.0,-0.28550557938915083,0.012629808059310844,0.20514600034156752,-83.64521253385432,-60.981245178432545,678.1704667942877
12,12.0,-0.471564258764251,0.16400314298234472,0.016677065478287904,-96.07390878733167,-82.28967879417598,1149.834241568777
13,13.0,-0.29061928161521383,0.014951338558089068,0.441580072874538,-67.04170097698179,-81.48133989344663,786.9435357706578
14,14.0,-0.22656778640830236,0.07675214804878819,0.5314947728163864,-47.38340290080658,-81.5701570733161,1023.9034785485495
